"id","site","x","y"
"1","be10",4547069.19501657,3267126.29423317
"2","be11",4545922.01103913,3262910.91373356
"3","be12",4544831.1929702,3264030.2110384
"4","be13",4533677.92101246,3262977.03199727
"5","be14",4546951.88401208,3260343.32609517
"6","be15",4556702.30498634,3286213.97712421
"7","be16",4554632.432049,3282948.10577792
"8","be17",4558626.66903756,3281072.01347636
"9","be18",4554848.95702592,3279378.20386121
"10","be19",4561960.72298067,3273138.61347531
"11","be2",4543300.67005667,3283578.79152328
"12","be20",4551408.15104483,3271471.53935361
"13","be21",4559204.31595405,3274021.06316503
"14","be22",4554997.97199889,3276706.98053382
"15","be23",4555154.21303906,3273688.51444382
"16","be24",4547258.51804584,3268820.50893305
"17","be25",4563834.32403505,3267345.87655229
"18","be26",4551049.00701845,3266622.63357916
"19","be27",4561601.86095567,3264766.80084937
"20","be28",4567730.58397321,3262888.7097808
"21","be29",4552730.59000688,3259990.966249
"22","be3",4535252.20994105,3277622.09205064
"23","be30",4549274.66702664,3260394.49455972
"24","be4",4540427.26801334,3279710.0694817
"25","be5",4546322.87305189,3278333.39373706
"26","be6",4543440.37197977,3274604.68807032
"27","be7",4545636.17097308,3272558.25502636
"28","be8",4537262.02304159,3273773.27345157
"29","be9",4539092.01697774,3270250.86516569
