site,patch.lu,patch.area,pop_100m,distance_water,impervious_surface,light,noise,open_green,temp_cooldown,temp_day,temp_night,tree_cover
BE10,park and green area,4762,240.2320426,887.9953352,85.7081552,254.0484442,52.66810537,0.003755813,-0.403478073,21.85440838,13.6166589,6.983366407
BE11,park and green area,22107.57811,41.95172087,182.7040839,48.08635072,253.543151,61.36623707,0.147960262,-0.505856003,21.74544788,13.03693348,22.48732917
BE12,park and green area,623.8550982,64.46639329,846.2595354,56.26918355,253.592441,53.33908051,0.116351677,-0.479806819,21.3394453,12.66102271,19.37420753
BE13,park and green area,700876.69,0.261762929,89.61534318,0.003294742,97.90619908,22.7820448,0.062367094,-0.798874614,28.82045554,16.64645276,70.11608596
BE14,"brownfield with meadow, shrubs and trees",1119275.514,0.164031726,849.7665845,7.314871159,248.0444121,35.69318226,0.517760575,-0.61040552,21.35707013,10.84691316,36.39087458
BE15,farmland,754802.5036,0.279482723,1114.944959,3.692755106,238.8064611,62.04908789,0.692938283,-0.877191847,30.88367562,14.75161458,19.78934382
BE16,"brownfield with meadow, shrubs and trees",585625.4249,17.20737698,1507.359944,46.06173872,248.9763399,65.44807878,0.0960477,-0.649231796,25.53259408,13.71576244,44.60392526
BE17,farmland,532289.5948,0,1373.560796,0,190.8380821,53.02830912,0.998551526,-0.997165828,30.93771259,13.28247826,0.12456873
BE18,"brownfield with meadow, shrubs and trees",460998.2227,13.21794459,866.6293046,45.12072438,247.5594398,60.28212414,0.24924503,-0.683656217,27.72574033,14.69095362,30.51445019
BE19,park and green area,150628.6402,26.94841775,300.3658385,54.38407358,254.0456777,60.96691113,0.020357884,-0.561918069,22.68958006,12.53806037,37.60153588
BE2,forest,6209809.066,0,974.9330807,0,229.0159878,43.26008627,0,-0.799817448,27.82168006,17.48295556,79.34147973
BE20,park and green area,50733.86513,121.8939759,581.6031299,85.72325668,255,55.93704508,0.001400497,-0.395215609,22.06560974,13.46786531,10.26608354
BE21,park and green area,332615.9964,15.69085227,295.9026346,18.79934004,254.9949285,56.10110296,0.521240723,-0.736099476,28.27922243,16.50935653,20.50372095
BE22,park and green area,7849.414966,172.3346086,426.4296557,88.26821368,254.8556511,54.75406244,0,-0.381086595,19.27000488,11.76622081,6.617411074
BE23,park and green area,3062.90759,289.6150191,1616.583243,88.44438822,255,57.95421413,0,-0.375526905,20.14337857,12.3297339,6.069850541
BE24,park and green area,78519.39761,159.898215,518.1128249,69.30296908,254.9906165,55.44684048,0.100172688,-0.420954144,19.87940491,11.89585945,14.94419183
BE25,forest,478050.0154,65.50569693,176.7374156,47.38165019,252.5940853,61.89823691,0.097900501,-0.595420102,25.1265285,14.6643241,29.23558731
BE26,park and green area,72312.80959,118.7306483,199.3940528,59.28326787,254.9986892,55.76390495,0.161549929,-0.530774376,24.10520614,14.37659008,15.53390775
BE27,forest,628813.1943,61.23989264,1297.475554,66.24706022,253.8537411,58.71132952,0.027212924,-0.546588441,24.20527467,13.80769948,25.81735766
BE28,forest,6995420.88,0.081606671,308.9486971,1.337444865,147.2063904,47.81166132,0.038631376,-0.763373113,27.11571135,16.88024332,73.79412098
BE29,park and green area,10688.39677,53.72525385,1094.530099,56.16645302,253.0051678,55.97481527,0.055907766,-0.549272395,23.52137551,13.41384061,34.96159918
BE3,forest,5681401.117,3.397385456,232.2163354,19.4837995,172.592143,34.29763251,0.127707312,-0.747279643,27.43313946,15.29316544,55.48014943
BE30,park and green area,555468.6154,36.3515589,666.7749672,39.40634833,252.639496,50.23587216,0.290718668,-0.640329999,25.0505059,13.51040404,30.24669347
BE4,forest,2903868.088,10.48965444,621.9548761,6.592945952,173.597459,40.46670322,0.07153672,-0.74627201,26.82966962,16.47645572,62.63903389
BE5,park and green area,20360.81301,138.5031292,894.2084129,77.68842927,254.3863343,64.45059606,0.004747648,-0.441054735,21.14302085,12.7136822,12.76256788
BE6,"brownfield with meadow, shrubs and trees",84870.77471,95.89662741,412.4091553,66.05288797,253.8728897,57.41307161,0.01467517,-0.522940505,24.3583223,14.49850924,24.75695827
BE7,park and green area,15181.3642,202.9983087,491.9734898,89.40594986,255,54.41609878,0.00245264,-0.38469649,20.01184882,12.31965359,7.435498609
BE8,park and green area,38843.47665,59.8440229,394.0387579,80.59438344,254.4578747,60.4470315,0,-0.545105266,25.62854102,14.60420408,17.76238404
BE9,forest,3449509.831,0.046996208,400.0133717,0,218.3549211,38.10811377,0.021666845,-0.750764825,26.57018981,16.3897084,75.25321416
